"","day","WC","Analytic","Clout","Authentic","Tone","WPS","Sixltr","function","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb_y","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body_y","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler","tweetcount"
0,"2017-02-07 00:00:00",193,872.4300000000002,524.01,353.91000000000014,253.38000000000005,98.66,222.39,210.08,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,32.099999999999994,125.7,20.14,18.57,13.57,0.0,48.26000000000001,32.66,13.57,0.0,10.26,3.57,15.26,5.0,10.26,0.0,10.26,0.0,24.0,0.0,0.0,0.0,0.0,12.14,5.0,0.0,0.0,3.57,0.0,3.57,9.0,0.0,9.0,0.0,9.26,4.0,0.0,5.26,0.0,37.64,0.0,0.0,37.64,0.0,0.0,0.0,35.69,17.14,161.41,30.69,92.16,33.57,20.0,0.0,5.26,5.26,5.0,0.0,37.91,0.0,37.91,0.0,0.0,0.0,9
1,"2017-02-07 01:00:00",377,1545.02,936.05,964.61,536.8799999999999,263.33,413.95,785.3900000000001,132.64,85.41999999999999,55.0,16.72,9.17,0.0,4.55,47.21000000000001,134.39,300.1,112.12,69.03,67.69,47.040000000000006,266.17,48.47,5.88,12.14,50.26000000000001,14.73,75.2,31.39,39.98,0.0,12.14,18.99,119.79,0.0,3.85,0.0,3.85,122.65,3.7,9.0,45.54,31.31,10.56,54.39999999999999,60.11,49.12000000000001,7.14,13.43,83.2,0.0,15.01,64.03,0.0,156.07999999999996,46.58,42.46,55.78,16.799999999999994,27.75,30.22,182.78,29.280000000000005,357.04,46.28999999999999,205.64,51.24,60.18000000000001,25.44,5.56,8.4,0.0,0.0,29.81,0.0,29.81,0.0,0.0,0.0,19
2,"2017-02-07 02:00:00",367,1447.38,1141.14,776.48,711.8,258.0,333.07,498.57,92.8,51.57,4.76,21.33,20.92,4.55,0.0,41.22,26.96,250.88,71.44999999999997,30.92,49.3,14.36,160.86,38.38,11.01,11.01,104.29,14.11,43.6,28.96,14.65,0.0,10.1,4.55,106.67999999999998,0.0,0.0,0.0,4.55,75.27,3.85,15.56,16.369999999999994,24.46,5.56,40.2,11.51,11.51,0.0,0.0,16.36,0.0,0.0,11.81,4.55,68.69999999999999,35.7,15.35,13.66,10.25,0.0,34.7,110.52,16.57,306.73,68.16,160.12,56.57,76.08999999999997,14.259999999999998,0.0,4.55,0.0,8.55,58.84,6.25,47.83,0.0,0.0,0.0,18
3,"2017-02-07 03:00:00",191,788.4,502.17,294.46,305.16,135.5,215.72,154.73999999999995,22.15,13.46,13.46,0.0,0.0,0.0,0.0,8.7,13.46,79.79,17.599999999999994,8.7,13.05,4.35,69.14,18.22,0.0,4.35,0.0,13.05,8.7,8.7,0.0,0.0,0.0,0.0,38.57,0.0,0.0,0.0,0.0,13.04,0.0,0.0,0.0,0.0,4.35,8.7,4.35,0.0,4.35,0.0,4.35,0.0,0.0,4.35,0.0,17.799999999999994,0.0,0.0,13.45,4.35,0.0,8.899999999999997,60.26000000000001,9.35,141.15,34.21,70.47,37.15,39.46000000000001,4.35,0.0,0.0,0.0,9.11,47.86,0.0,47.86,0.0,0.0,0.0,9
4,"2017-02-07 04:00:00",183,777.84,566.82,485.11,254.20000000000005,135.5,211.52,218.19000000000003,51.51000000000001,35.4,14.35,9.1,4.55,0.0,7.41,16.13,22.22,101.56,14.81,12.8,7.87,11.11,60.51000000000001,12.97,0.0,12.419999999999998,3.7,0.0,31.93,10.26,21.67,3.7,14.259999999999998,3.7,65.07,0.0,0.0,5.0,0.0,37.790000000000006,12.88,9.26,3.7,3.7,0.0,15.66,9.43,5.26,4.17,0.0,31.61,5.26,5.26,21.09,0.0,40.12,18.9,0.0,12.97,8.25,0.0,11.58,59.2,4.55,155.76000000000005,26.91,92.12,26.89,34.99,14.35,0.0,5.56,0.0,9.55,42.10999999999999,0.0,42.10999999999999,0.0,0.0,0.0,9
5,"2017-02-07 05:00:00",80,387.23,240.92,86.04,78.31,70.0,88.28999999999998,39.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,30.34,4.55,0.0,0.0,0.0,24.89,0.0,0.0,0.0,9.09,0.0,4.55,0.0,4.55,0.0,4.55,0.0,15.34,0.0,0.0,0.0,0.0,9.09,0.0,0.0,4.55,0.0,0.0,4.55,0.0,0.0,0.0,0.0,9.1,4.55,0.0,4.55,0.0,9.55,0.0,0.0,9.55,0.0,0.0,0.0,15.8,0.0,50.23,20.34,29.89,0.0,19.89,0.0,0.0,0.0,0.0,4.55,24.89,0.0,24.89,0.0,0.0,0.0,4
6,"2017-02-07 06:00:00",50,169.03,145.2,100.0,118.17,38.0,28.52,33.02,4.17,4.17,0.0,4.17,0.0,0.0,0.0,0.0,0.0,12.5,12.18,4.17,4.17,0.0,16.35,8.33,4.17,0.0,8.33,0.0,4.17,4.17,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,3.85,3.85,0.0,0.0,0.0,0.0,0.0,3.85,0.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,25.0,16.67,8.33,4.17,4.17,0.0,4.17,12.18,4.17,37.5,4.17,16.67,12.5,8.33,8.02,0.0,0.0,0.0,0.0,7.69,0.0,7.69,0.0,0.0,0.0,2
7,"2017-02-07 07:00:00",54,197.43,141.69,5.05,26.77,36.5,53.08,38.19,2.86,2.86,0.0,2.86,0.0,0.0,0.0,0.0,10.97,19.1,0.0,5.26,0.0,0.0,10.53,0.0,0.0,0.0,17.14,0.0,15.79,5.26,10.53,0.0,5.26,0.0,8.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,5.26,0.0,5.71,2.86,0.0,2.86,0.0,0.0,0.0,10.53,0.0,10.53,5.26,5.26,0.0,13.39,0.0,0.0,0.0,0.0,0.0,2.86,0.0,2.86,0.0,0.0,0.0,2
8,"2017-02-07 08:00:00",112,454.85,257.13,136.0,199.84,85.5,66.50999999999999,84.13999999999999,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,46.09,28.05,0.0,5.0,5.0,33.05,30.45,13.05,0.0,65.21000000000001,5.0,10.0,5.0,0.0,0.0,0.0,0.0,13.05,0.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,10.0,0.0,5.0,26.09,4.35,8.7,13.05,5.0,0.0,0.0,5.0,0.0,17.4,17.4,13.05,0.0,0.0,0.0,0.0,33.05,13.05,87.16,18.05,32.4,14.35,26.1,31.09,0.0,0.0,0.0,0.0,4.35,0.0,4.35,0.0,0.0,0.0,5
9,"2017-02-07 09:00:00",42,197.33,118.29,50.39,51.54,31.5,42.86,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,23.81,0.0,0.0,0.0,0.0,4.76,4.76,0.0,0.0,4.76,0.0,9.52,4.76,4.76,0.0,4.76,0.0,4.76,4.76,0.0,0.0,4.76,4.76,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52,0.0,0.0,4.76,4.76,0.0,0.0,4.76,0.0,28.58,9.52,14.28,0.0,4.76,0.0,0.0,0.0,0.0,4.76,14.28,0.0,9.52,4.76,0.0,0.0,2
